date,season,Champion
2014-01-14 00:00:00,Preseason 4,Kha'Zix
2014-01-07 00:00:00,Preseason 4,Jax
2013-11-26 00:00:00,Preseason 4,Nasus
2014-12-16 00:00:00,Preseason 5,Vi
2014-12-02 00:00:00,Preseason 5,Nidalee
2014-12-23 00:00:00,Preseason 5,Pantheon
2014-12-30 00:00:00,Preseason 5,Sejuani
2014-12-09 00:00:00,Preseason 5,Kalista
2015-01-13 00:00:00,Preseason 5,Kog'Maw
2015-01-06 00:00:00,Preseason 5,Janna
2014-11-18 00:00:00,Preseason 5,Lissandra
2014-11-25 00:00:00,Preseason 5,Nunu
2014-04-01 00:00:00,Season 4,Ryze
2014-04-15 00:00:00,Season 4,Ezreal
2014-04-22 00:00:00,Season 4,Pantheon
2014-04-29 00:00:00,Season 4,Malphite
2014-04-08 00:00:00,Season 4,Lucian
2014-08-10 00:00:00,Season 4,Nautilus
2014-08-17 00:00:00,Season 4,Olaf
2014-08-24 00:00:00,Season 4,Hecarim
2014-08-03 00:00:00,Season 4,Shyvana
2014-02-11 00:00:00,Season 4,Master Yi
2014-02-18 00:00:00,Season 4,Quinn
2014-02-25 00:00:00,Season 4,Nasus
2014-02-04 00:00:00,Season 4,Malphite
2014-01-21 00:00:00,Season 4,Riven
2014-01-28 00:00:00,Season 4,Nocturne
2014-07-13 00:00:00,Season 4,Rengar
2014-07-20 00:00:00,Season 4,Skarner
2014-07-27 00:00:00,Season 4,Miss Fortune
2014-07-06 00:00:00,Season 4,Renekton
2014-06-01 00:00:00,Season 4,Gragas
2014-06-15 00:00:00,Season 4,Nami
2014-06-22 00:00:00,Season 4,Rumble
2014-06-29 00:00:00,Season 4,Nocturne
2014-06-08 00:00:00,Season 4,LeBlanc
2014-03-11 00:00:00,Season 4,Lee Sin
2014-03-18 00:00:00,Season 4,Nami
2014-03-25 00:00:00,Season 4,Soraka
2014-03-04 00:00:00,Season 4,Sejuani
2014-05-13 00:00:00,Season 4,Morgana
2014-05-20 00:00:00,Season 4,Sivir
2014-05-27 00:00:00,Season 4,Lee Sin
2014-05-06 00:00:00,Season 4,Twitch
2014-11-11 00:00:00,Season 4,Quinn
2014-11-04 00:00:00,Season 4,Mordekaiser
2014-10-13 00:00:00,Season 4,Singed
2014-10-20 00:00:00,Season 4,Swain
2014-10-27 00:00:00,Season 4,Orianna
2014-10-06 00:00:00,Season 4,Renekton
2014-09-01 00:00:00,Season 4,Lulu
2014-09-15 00:00:00,Season 4,Lucian
2014-09-22 00:00:00,Season 4,Rengar
2014-09-29 00:00:00,Season 4,Leona
2014-09-08 00:00:00,Season 4,Miss Fortune
2013-04-16 00:00:00,Season 3,Morgana
2013-04-02 00:00:00,Season 3,Nasus
2013-04-23 00:00:00,Season 3,Thresh
2013-04-30 00:00:00,Season 3,Olaf
2013-04-09 00:00:00,Season 3,Malzahar
2013-08-13 00:00:00,Season 3,Quinn
2013-08-20 00:00:00,Season 3,Sivir
2013-08-27 00:00:00,Season 3,Nocturne
2013-08-06 00:00:00,Season 3,Lissandra
2013-02-12 00:00:00,Season 3,Singed
2013-02-19 00:00:00,Season 3,Morgana
2013-02-26 00:00:00,Season 3,Olaf
2013-02-05 00:00:00,Season 3,Nautilus
2013-07-16 00:00:00,Season 3,Malzahar
2013-07-02 00:00:00,Season 3,Miss Fortune
2013-07-23 00:00:00,Season 3,Nidalee
2013-07-30 00:00:00,Season 3,Sejuani
2013-07-09 00:00:00,Season 3,Riven
2013-06-11 00:00:00,Season 3,Rammus
2013-06-18 00:00:00,Season 3,Quinn
2013-06-25 00:00:00,Season 3,Renekton
2013-06-04 00:00:00,Season 3,Nami
2013-03-12 00:00:00,Season 3,Miss Fortune
2013-03-19 00:00:00,Season 3,Sejuani
2013-03-26 00:00:00,Season 3,Nautilus
2013-03-05 00:00:00,Season 3,Nasus
2013-05-14 00:00:00,Season 3,Nocturne
2013-05-21 00:00:00,Season 3,Syndra
2013-05-28 00:00:00,Season 3,Nasus
2013-05-07 00:00:00,Season 3,Kog'Maw
2013-11-12 00:00:00,Season 3,Olaf
2013-11-19 00:00:00,Season 3,Sivir
2013-11-05 00:00:00,Season 3,Orianna
2013-10-01 00:00:00,Season 3,Sivir
2013-10-15 00:00:00,Season 3,Graves
2013-10-22 00:00:00,Season 3,Nunu
2013-10-29 00:00:00,Season 3,Lucian
2013-10-08 00:00:00,Season 3,Lee Sin
2013-09-10 00:00:00,Season 3,Rengar
2013-09-17 00:00:00,Season 3,Sejuani
2013-09-24 00:00:00,Season 3,Miss Fortune
2013-09-03 00:00:00,Season 3,Nami
2013-12-10 00:00:00,Preseason 4,Lulu
2013-12-17 00:00:00,Preseason 4,Orianna
2013-12-24 00:00:00,Preseason 4,Shen
2013-12-03 00:00:00,Preseason 4,Nautilus
2013-12-31 00:00:00,Preseason 4,Leona
2014-01-14 00:00:00,Preseason 4,Lux
2014-01-07 00:00:00,Preseason 4,Jinx
2013-11-26 00:00:00,Preseason 4,Quinn
2014-12-16 00:00:00,Preseason 5,Xerath
2014-12-02 00:00:00,Preseason 5,Rengar
2014-12-23 00:00:00,Preseason 5,Quinn
2014-12-30 00:00:00,Preseason 5,Thresh
2014-12-09 00:00:00,Preseason 5,Morgana
2015-01-13 00:00:00,Preseason 5,Shyvana
2015-01-06 00:00:00,Preseason 5,LeBlanc
2014-11-18 00:00:00,Preseason 5,Miss Fortune
2014-11-25 00:00:00,Preseason 5,Shen
2014-04-01 00:00:00,Season 4,Skarner
2014-04-15 00:00:00,Season 4,Fiora
2014-04-22 00:00:00,Season 4,Quinn
2014-04-29 00:00:00,Season 4,Nautilus
2014-04-08 00:00:00,Season 4,Olaf
2014-08-10 00:00:00,Season 4,Nunu
2014-08-17 00:00:00,Season 4,Soraka
2014-08-24 00:00:00,Season 4,Lissandra
2014-08-03 00:00:00,Season 4,Thresh
2014-02-11 00:00:00,Season 4,Soraka
2014-02-18 00:00:00,Season 4,Shaco
2014-02-25 00:00:00,Season 4,Nautilus
2014-02-04 00:00:00,Season 4,Nami
2014-01-21 00:00:00,Season 4,Skarner
2014-01-28 00:00:00,Season 4,Pantheon
2014-07-13 00:00:00,Season 4,Syndra
2014-07-20 00:00:00,Season 4,Trundle
2014-07-27 00:00:00,Season 4,Orianna
2014-07-06 00:00:00,Season 4,Vayne
2014-06-01 00:00:00,Season 4,Kog'Maw
2014-06-15 00:00:00,Season 4,Sona
2014-06-22 00:00:00,Season 4,Shen
2014-06-29 00:00:00,Season 4,Pantheon
2014-06-08 00:00:00,Season 4,Lissandra
2014-03-11 00:00:00,Season 4,Lulu
2014-03-18 00:00:00,Season 4,Rengar
2014-03-25 00:00:00,Season 4,Teemo
2014-03-04 00:00:00,Season 4,Thresh
2014-05-13 00:00:00,Season 4,Skarner
2014-05-20 00:00:00,Season 4,Vayne
2014-05-27 00:00:00,Season 4,Miss Fortune
2014-05-06 00:00:00,Season 4,Urgot
2014-11-11 00:00:00,Season 4,Shyvana
2014-11-04 00:00:00,Season 4,Riven
2014-10-13 00:00:00,Season 4,Syndra
2014-10-20 00:00:00,Season 4,Teemo
2014-10-27 00:00:00,Season 4,Sivir
2014-10-06 00:00:00,Season 4,Trundle
2014-09-01 00:00:00,Season 4,Maokai
2014-09-15 00:00:00,Season 4,Sona
2014-09-22 00:00:00,Season 4,Soraka
2014-09-29 00:00:00,Season 4,Nasus
2014-09-08 00:00:00,Season 4,Nocturne
2013-04-16 00:00:00,Season 3,Teemo
2013-04-02 00:00:00,Season 3,Nidalee
2013-04-23 00:00:00,Season 3,Twitch
2013-04-30 00:00:00,Season 3,Quinn
2013-04-09 00:00:00,Season 3,Master Yi
2013-08-13 00:00:00,Season 3,Tryndamere
2013-08-20 00:00:00,Season 3,Skarner
2013-08-27 00:00:00,Season 3,Rammus
2013-08-06 00:00:00,Season 3,Lulu
2013-02-12 00:00:00,Season 3,Teemo
2013-02-19 00:00:00,Season 3,Shen
2013-02-26 00:00:00,Season 3,Rammus
2013-02-05 00:00:00,Season 3,Ryze
2013-07-16 00:00:00,Season 3,Olaf
2013-07-02 00:00:00,Season 3,Morgana
2013-07-23 00:00:00,Season 3,Shen
2013-07-30 00:00:00,Season 3,Shyvana
2013-07-09 00:00:00,Season 3,Teemo
2013-06-11 00:00:00,Season 3,Shyvana
2013-06-18 00:00:00,Season 3,Taric
2013-06-25 00:00:00,Season 3,Ryze
2013-06-04 00:00:00,Season 3,Nidalee
2013-03-12 00:00:00,Season 3,Nocturne
2013-03-19 00:00:00,Season 3,Soraka
2013-03-26 00:00:00,Season 3,Riven
2013-03-05 00:00:00,Season 3,Skarner
2013-05-14 00:00:00,Season 3,Rengar
2013-05-21 00:00:00,Season 3,Talon
2013-05-28 00:00:00,Season 3,Skarner
2013-05-07 00:00:00,Season 3,Lulu
2013-11-12 00:00:00,Season 3,Riven
2013-11-19 00:00:00,Season 3,Sona
2013-11-05 00:00:00,Season 3,Skarner
2013-10-01 00:00:00,Season 3,Soraka
2013-10-15 00:00:00,Season 3,Leona
2013-10-22 00:00:00,Season 3,Rammus
2013-10-29 00:00:00,Season 3,Lulu
2013-10-08 00:00:00,Season 3,Malzahar
2013-09-10 00:00:00,Season 3,Riven
2013-09-17 00:00:00,Season 3,Talon
2013-09-24 00:00:00,Season 3,Pantheon
2013-09-03 00:00:00,Season 3,Renekton
2013-12-10 00:00:00,Preseason 4,Master Yi
2013-12-17 00:00:00,Preseason 4,Sejuani
2013-12-24 00:00:00,Preseason 4,Soraka
2013-12-03 00:00:00,Preseason 4,Sivir
2013-12-31 00:00:00,Preseason 4,Ryze
2014-01-14 00:00:00,Preseason 4,Rammus
2014-01-07 00:00:00,Preseason 4,Lucian
2013-11-26 00:00:00,Preseason 4,Renekton
2014-12-16 00:00:00,Preseason 5,Zac
2014-12-02 00:00:00,Preseason 5,Sona
2014-12-23 00:00:00,Preseason 5,Udyr
2014-12-30 00:00:00,Preseason 5,Vayne
2014-12-09 00:00:00,Preseason 5,Ryze
2015-01-13 00:00:00,Preseason 5,Soraka
2015-01-06 00:00:00,Preseason 5,Lux
2014-11-18 00:00:00,Preseason 5,Olaf
2014-11-25 00:00:00,Preseason 5,Taric
2014-04-01 00:00:00,Season 4,Tryndamere
2014-04-15 00:00:00,Season 4,Karthus
2014-04-22 00:00:00,Season 4,Vladimir
2014-04-29 00:00:00,Season 4,Orianna
2014-04-08 00:00:00,Season 4,Riven
2014-08-10 00:00:00,Season 4,Quinn
2014-08-17 00:00:00,Season 4,Teemo
2014-08-24 00:00:00,Season 4,Malzahar
2014-08-03 00:00:00,Season 4,Twisted Fate
2014-02-11 00:00:00,Season 4,Varus
2014-02-18 00:00:00,Season 4,Vladimir
2014-02-25 00:00:00,Season 4,Taric
2014-02-04 00:00:00,Season 4,Orianna
2014-01-21 00:00:00,Season 4,Thresh
2014-01-28 00:00:00,Season 4,Quinn
2014-07-13 00:00:00,Season 4,Varus
2014-07-20 00:00:00,Season 4,Urgot
2014-07-27 00:00:00,Season 4,Ryze
2014-07-06 00:00:00,Season 4,Veigar
2014-06-01 00:00:00,Season 4,Lucian
2014-06-15 00:00:00,Season 4,Swain
2014-06-22 00:00:00,Season 4,Soraka
2014-06-29 00:00:00,Season 4,Sivir
2014-06-08 00:00:00,Season 4,Riven
2014-03-11 00:00:00,Season 4,Shyvana
2014-03-18 00:00:00,Season 4,Talon
2014-03-25 00:00:00,Season 4,Xerath
2014-03-04 00:00:00,Season 4,Vayne
2014-05-13 00:00:00,Season 4,Soraka
2014-05-20 00:00:00,Season 4,Vi
2014-05-27 00:00:00,Season 4,Nautilus
2014-05-06 00:00:00,Season 4,Vladimir
2014-11-11 00:00:00,Season 4,Thresh
2014-11-04 00:00:00,Season 4,Sion
2014-10-13 00:00:00,Season 4,Varus
2014-10-20 00:00:00,Season 4,Tryndamere
2014-10-27 00:00:00,Season 4,Udyr
2014-10-06 00:00:00,Season 4,Veigar
2014-09-01 00:00:00,Season 4,Sivir
2014-09-15 00:00:00,Season 4,Udyr
2014-09-22 00:00:00,Season 4,Talon
2014-09-29 00:00:00,Season 4,Skarner
2014-09-08 00:00:00,Season 4,Shen
2013-04-16 00:00:00,Season 3,Wukong
2013-04-02 00:00:00,Season 3,Orianna
2013-04-23 00:00:00,Season 3,Veigar
2013-04-30 00:00:00,Season 3,Tryndamere
2013-04-09 00:00:00,Season 3,Nami
2013-08-13 00:00:00,Season 3,Vi
2013-08-20 00:00:00,Season 3,Sona
2013-08-27 00:00:00,Season 3,Singed
2013-08-06 00:00:00,Season 3,Mordekaiser
2013-02-12 00:00:00,Season 3,Thresh
2013-02-19 00:00:00,Season 3,Soraka
2013-02-26 00:00:00,Season 3,Taric
2013-02-05 00:00:00,Season 3,Udyr
2013-07-16 00:00:00,Season 3,Soraka
2013-07-02 00:00:00,Season 3,Orianna
2013-07-23 00:00:00,Season 3,Thresh
2013-07-30 00:00:00,Season 3,Sivir
2013-07-09 00:00:00,Season 3,Trundle
2013-06-11 00:00:00,Season 3,Vayne
2013-06-18 00:00:00,Season 3,Vladimir
2013-06-25 00:00:00,Season 3,Sivir
2013-06-04 00:00:00,Season 3,Pantheon
2013-03-12 00:00:00,Season 3,Shyvana
2013-03-19 00:00:00,Season 3,Twitch
2013-03-26 00:00:00,Season 3,Sivir
2013-03-05 00:00:00,Season 3,Varus
2013-05-14 00:00:00,Season 3,Shaco
2013-05-21 00:00:00,Season 3,Urgot
2013-05-28 00:00:00,Season 3,Viktor
2013-05-07 00:00:00,Season 3,Sejuani
2013-11-12 00:00:00,Season 3,Soraka
2013-11-19 00:00:00,Season 3,Trundle
2013-11-05 00:00:00,Season 3,Tryndamere
2013-10-01 00:00:00,Season 3,Syndra
2013-10-15 00:00:00,Season 3,Nautilus
2013-10-22 00:00:00,Season 3,Teemo
2013-10-29 00:00:00,Season 3,Rengar
2013-10-08 00:00:00,Season 3,Nami
2013-09-10 00:00:00,Season 3,Twisted Fate
2013-09-17 00:00:00,Season 3,Trundle
2013-09-24 00:00:00,Season 3,Ryze
2013-09-03 00:00:00,Season 3,Rengar
2013-12-10 00:00:00,Preseason 4,Quinn
2013-12-17 00:00:00,Preseason 4,Sona
2013-12-24 00:00:00,Preseason 4,Syndra
2013-12-03 00:00:00,Preseason 4,Talon
2013-12-31 00:00:00,Preseason 4,Teemo
2014-01-14 00:00:00,Preseason 4,Rengar
2014-01-07 00:00:00,Preseason 4,Malzahar
2013-11-26 00:00:00,Preseason 4,Thresh
2014-12-16 00:00:00,Preseason 5,Ziggs
2014-12-02 00:00:00,Preseason 5,Talon
2014-12-23 00:00:00,Preseason 5,Urgot
2014-12-30 00:00:00,Preseason 5,Veigar
2014-12-09 00:00:00,Preseason 5,Skarner
2015-01-13 00:00:00,Preseason 5,Trundle
2015-01-06 00:00:00,Preseason 5,Rek'Sai
2014-11-18 00:00:00,Preseason 5,Soraka
2014-11-25 00:00:00,Preseason 5,Twitch
2014-04-01 00:00:00,Season 4,Varus
2014-04-15 00:00:00,Season 4,Katarina
2014-04-22 00:00:00,Season 4,Zed
2014-04-29 00:00:00,Season 4,Sona
2014-04-08 00:00:00,Season 4,Shen
2014-08-10 00:00:00,Season 4,Taric
2014-08-17 00:00:00,Season 4,Viktor
2014-08-24 00:00:00,Season 4,Nami
2014-08-03 00:00:00,Season 4,Vi
2014-02-11 00:00:00,Season 4,Warwick
2014-02-18 00:00:00,Season 4,Zed
2014-02-25 00:00:00,Season 4,Trundle
2014-02-04 00:00:00,Season 4,Shen
2014-01-21 00:00:00,Season 4,Tryndamere
2014-01-28 00:00:00,Season 4,Sona
2014-07-13 00:00:00,Season 4,Zilean
2014-07-20 00:00:00,Season 4,Xerath
2014-07-27 00:00:00,Season 4,Sejuani
2014-07-06 00:00:00,Season 4,Vel'Koz
2014-06-01 00:00:00,Season 4,Thresh
2014-06-15 00:00:00,Season 4,Tryndamere
2014-06-22 00:00:00,Season 4,Talon
2014-06-29 00:00:00,Season 4,Twitch
2014-06-08 00:00:00,Season 4,Taric
2014-03-11 00:00:00,Season 4,Syndra
2014-03-18 00:00:00,Season 4,Twisted Fate
2014-03-25 00:00:00,Season 4,Xin Zhao
2014-03-04 00:00:00,Season 4,Veigar
2014-05-13 00:00:00,Season 4,Varus
2014-05-20 00:00:00,Season 4,Viktor
2014-05-27 00:00:00,Season 4,Singed
2014-05-06 00:00:00,Season 4,Zac
2014-11-11 00:00:00,Season 4,Varus
2014-11-04 00:00:00,Season 4,Volibear
2014-10-13 00:00:00,Season 4,Vi
2014-10-20 00:00:00,Season 4,Urgot
2014-10-27 00:00:00,Season 4,Vladimir
2014-10-06 00:00:00,Season 4,Xin Zhao
2014-09-01 00:00:00,Season 4,Urgot
2014-09-15 00:00:00,Season 4,Yasuo
2014-09-22 00:00:00,Season 4,Taric
2014-09-29 00:00:00,Season 4,Thresh
2014-09-08 00:00:00,Season 4,Twitch
2013-04-16 00:00:00,Season 3,Zac
2013-04-02 00:00:00,Season 3,Renekton
2013-04-23 00:00:00,Season 3,Xin Zhao
2013-04-30 00:00:00,Season 3,Udyr
2013-04-09 00:00:00,Season 3,Ryze
2013-08-13 00:00:00,Season 3,Ziggs
2013-08-20 00:00:00,Season 3,Viktor
2013-08-27 00:00:00,Season 3,Soraka
2013-08-06 00:00:00,Season 3,Taric
2013-02-12 00:00:00,Season 3,Twitch
2013-02-19 00:00:00,Season 3,Talon
2013-02-26 00:00:00,Season 3,Volibear
2013-02-05 00:00:00,Season 3,Viktor
2013-07-16 00:00:00,Season 3,Volibear
2013-07-02 00:00:00,Season 3,Sona
2013-07-23 00:00:00,Season 3,Twitch
2013-07-30 00:00:00,Season 3,Vayne
2013-07-09 00:00:00,Season 3,Varus
2013-06-11 00:00:00,Season 3,Xin Zhao
2013-06-18 00:00:00,Season 3,Warwick
2013-06-25 00:00:00,Season 3,Twisted Fate
2013-06-04 00:00:00,Season 3,Singed
2013-03-12 00:00:00,Season 3,Swain
2013-03-19 00:00:00,Season 3,Vladimir
2013-03-26 00:00:00,Season 3,Sona
2013-03-05 00:00:00,Season 3,Veigar
2013-05-14 00:00:00,Season 3,Sivir
2013-05-21 00:00:00,Season 3,Varus
2013-05-28 00:00:00,Season 3,Ziggs
2013-05-07 00:00:00,Season 3,Taric
2013-11-12 00:00:00,Season 3,Varus
2013-11-19 00:00:00,Season 3,Xin Zhao
2013-11-05 00:00:00,Season 3,Twitch
2013-10-01 00:00:00,Season 3,Volibear
2013-10-15 00:00:00,Season 3,Shen
2013-10-22 00:00:00,Season 3,Udyr
2013-10-29 00:00:00,Season 3,Taric
2013-10-08 00:00:00,Season 3,Sona
2013-09-10 00:00:00,Season 3,Twitch
2013-09-17 00:00:00,Season 3,Vayne
2013-09-24 00:00:00,Season 3,Taric
2013-09-03 00:00:00,Season 3,Thresh
2013-12-10 00:00:00,Preseason 4,Shaco
2013-12-17 00:00:00,Preseason 4,Trundle
2013-12-24 00:00:00,Preseason 4,Xerath
2013-12-03 00:00:00,Preseason 4,Taric
2013-12-31 00:00:00,Preseason 4,Varus
2014-01-14 00:00:00,Preseason 4,Taric
2014-01-07 00:00:00,Preseason 4,Shyvana
2013-11-26 00:00:00,Preseason 4,Vladimir
2014-12-16 00:00:00,Preseason 5,Zilean
2014-12-02 00:00:00,Preseason 5,Yasuo
2014-12-23 00:00:00,Preseason 5,Zyra
2014-12-30 00:00:00,Preseason 5,Zed
2014-12-09 00:00:00,Preseason 5,Xin Zhao
2015-01-13 00:00:00,Preseason 5,Warwick
2015-01-06 00:00:00,Preseason 5,Varus
2014-11-18 00:00:00,Preseason 5,Twisted Fate
2014-11-25 00:00:00,Preseason 5,Vel'Koz
2014-04-01 00:00:00,Season 4,Zyra
2014-04-15 00:00:00,Season 4,Thresh
2014-04-22 00:00:00,Season 4,Ziggs
2014-04-29 00:00:00,Season 4,Trundle
2014-04-08 00:00:00,Season 4,Taric
2014-08-10 00:00:00,Season 4,Vladimir
2014-08-17 00:00:00,Season 4,Volibear
2014-08-24 00:00:00,Season 4,Vayne
2014-08-03 00:00:00,Season 4,Zed
2014-02-11 00:00:00,Season 4,Ziggs
2014-02-18 00:00:00,Season 4,Zyra
2014-02-25 00:00:00,Season 4,Wukong
2014-02-04 00:00:00,Season 4,Sivir
2014-01-21 00:00:00,Season 4,Twitch
2014-01-28 00:00:00,Season 4,Xin Zhao
2014-07-13 00:00:00,Season 4,Zyra
2014-07-20 00:00:00,Season 4,Ziggs
2014-07-27 00:00:00,Season 4,Sona
2014-07-06 00:00:00,Season 4,Zac
2014-06-01 00:00:00,Season 4,Wukong
2014-06-15 00:00:00,Season 4,Xin Zhao
2014-06-22 00:00:00,Season 4,Udyr
2014-06-29 00:00:00,Season 4,Yasuo
2014-06-08 00:00:00,Season 4,Warwick
2014-03-11 00:00:00,Season 4,Vel'Koz
2014-03-18 00:00:00,Season 4,Twitch
2014-03-25 00:00:00,Season 4,Yasuo
2014-03-04 00:00:00,Season 4,Volibear
2014-05-13 00:00:00,Season 4,Vel'Koz
2014-05-20 00:00:00,Season 4,Zilean
2014-05-27 00:00:00,Season 4,Volibear
2014-05-06 00:00:00,Season 4,Zyra
2014-11-11 00:00:00,Season 4,Viktor
2014-11-04 00:00:00,Season 4,Zyra
2014-10-13 00:00:00,Season 4,Xerath
2014-10-20 00:00:00,Season 4,Vayne
2014-10-27 00:00:00,Season 4,Zed
2014-10-06 00:00:00,Season 4,Zilean
2014-09-01 00:00:00,Season 4,Vel'Koz
2014-09-15 00:00:00,Season 4,Zac
2014-09-22 00:00:00,Season 4,Ziggs
2014-09-29 00:00:00,Season 4,Wukong
2014-09-08 00:00:00,Season 4,Zyra
2013-04-16 00:00:00,Season 3,Zyra
2013-04-02 00:00:00,Season 3,Zilean
2013-04-23 00:00:00,Season 3,Zed
2013-04-30 00:00:00,Season 3,Volibear
2013-04-09 00:00:00,Season 3,Udyr
2013-08-13 00:00:00,Season 3,Zilean
2013-08-20 00:00:00,Season 3,Zyra
2013-08-27 00:00:00,Season 3,Vladimir
2013-08-06 00:00:00,Season 3,Urgot
2013-02-12 00:00:00,Season 3,Zyra
2013-02-19 00:00:00,Season 3,Trundle
2013-02-26 00:00:00,Season 3,Wukong
2013-02-05 00:00:00,Season 3,Xin Zhao
2013-07-16 00:00:00,Season 3,Zed
2013-07-02 00:00:00,Season 3,Swain
2013-07-23 00:00:00,Season 3,Udyr
2013-07-30 00:00:00,Season 3,Veigar
2013-07-09 00:00:00,Season 3,Wukong
2013-06-11 00:00:00,Season 3,Zyra
2013-06-18 00:00:00,Season 3,Xerath
2013-06-25 00:00:00,Season 3,Zac
2013-06-04 00:00:00,Season 3,Twitch
2013-03-12 00:00:00,Season 3,Twisted Fate
2013-03-19 00:00:00,Season 3,Xerath
2013-03-26 00:00:00,Season 3,Vayne
2013-03-05 00:00:00,Season 3,Warwick
2013-05-14 00:00:00,Season 3,Sona
2013-05-21 00:00:00,Season 3,Vi
2013-05-28 00:00:00,Season 3,Zilean
2013-05-07 00:00:00,Season 3,Trundle
2013-11-12 00:00:00,Season 3,Ziggs
2013-11-19 00:00:00,Season 3,Zyra
2013-11-05 00:00:00,Season 3,Veigar
2013-10-01 00:00:00,Season 3,Zyra
2013-10-15 00:00:00,Season 3,Thresh
2013-10-22 00:00:00,Season 3,Xerath
2013-10-29 00:00:00,Season 3,Vayne
2013-10-08 00:00:00,Season 3,Wukong
2013-09-10 00:00:00,Season 3,Xin Zhao
2013-09-17 00:00:00,Season 3,Warwick
2013-09-24 00:00:00,Season 3,Zed
2013-09-03 00:00:00,Season 3,Varus
2013-12-10 00:00:00,Preseason 4,Twisted Fate
2013-12-17 00:00:00,Preseason 4,Volibear
2013-12-24 00:00:00,Preseason 4,Yasuo
2013-12-03 00:00:00,Preseason 4,Wukong
2013-12-31 00:00:00,Preseason 4,Vayne
2014-01-14 00:00:00,Preseason 4,Udyr
2014-01-07 00:00:00,Preseason 4,Zyra
2013-11-26 00:00:00,Preseason 4,Warwick
